sentence,label
Conceptually cream skimming has two basic dimensions - product and geography.,1
you know during the season and i guess at at your level uh you lose them to the next level if if they decide to recall the the parent team the Braves decide to call to recall a guy from triple A then a double A guy goes up to replace him and a single A guy goes up to replace him,0
One of our number will carry out your instructions minutely.,0
How do you know? All this is their information again.,0
yeah i tell you what though if you go price some of those tennis shoes i can see why now you know they're getting up in the hundred dollar range,1
my walkman broke so i'm upset now i just have to turn the stereo up real loud,0
"But a few Christian mosaics survive above the apse is the Virgin with the infant Jesus, with the Archangel Gabriel to the right (his companion Michael, to the left, has vanished save for a few feathers from his wings).",1
(Read  for Slate 's take on Jackson's findings.),0
Gays and lesbians.,2
"At the end of Rue des Francs-Bourgeois is what many consider to be the city's most handsome residential square, the Place des Vosges, with its stone and red brick facades.",2
"I burst through a set of cabin doors, and fell to the ground-",0
Fun for adults and children.,2
It's not that the questions they asked weren't interesting or legitimate (though most did fall under the category of already asked and answered).,1
"Thebes held onto power until the 12th Dynasty, when its first king, Amenemhet Iwho reigned between 1980 1951 b.c. established a capital near Memphis.",1
"I don't mean to be glib about your concerns, but if I were you, I might be more concerned about the near-term rate implications of this $1.",2
Issues in Data Synthesis.,0
well you see that on television also,0
Vrenna and I both fought him and he nearly took us.,2
This analysis pooled estimates from these two studies to develop a C-R function linking PM to chronic bronchitis.,2
He turned and smiled at Vrenna.,1
We sought to identify practices that were commonly implemented by the agencies within the past 5 years.,0
The other men shuffled.,0
States must show reasonable progress in their state implementation plans toward the congressionally mandated goal of returning to natural conditions in national parks and wilderness areas.,2
well it's been very interesting,0
He started slowly back to the bunkhouse.,0
and it's it's quite a bit i think six something is the state and and uh the rest of the pie goes elsewhere but we're in a particular part of the state that's pretty well off so it's it's like we get a lot of that back as far as local taxation goes,1
"They're made from a secret recipe handed down to the present-day villagers by their Mallorcan ancestors, who came here in the early 17th century as part of an official repopulation scheme.",2
yeah well you're a student right,1
it really is i heard something that their supposed to be starting a huge campaign in New York about um child abuse and stopping child abuse and it's supposed to be like it's starting there supposed to be like a big nationwide campaign and you know so hopefully that will take off and really do something i don't know there's just,2
Postal Service were to reduce delivery frequency.,0
"And in another shift in the economy, it was found that lamb could be raised more cost-effectively on lowland farms in part because of the richer, more nutritious grazing land available there and as a result Lakeland farms became less profitable.",0
The rule contains information collection requirements which will allow EPA to determine that detergent additives which are effective in controlling deposits are used and that emission control goals are realized.,0
"Almost every hill has to the northeast there's a Moorish fort; no fewer than four ruined fortresses guard the harbour entrance; and two more, still in good repair the Atalaya and Galeras castles protect the sea-front arsenal, of vital importance to Spain's military.",2
Were they in there?,1
"Felicia's Journey takes place behind the eyes of its central  a young Irish girl, Felicia, who crosses the sea to England in a hopeful quest to find the father of her unborn child; and the fat, middle-aged catering manager, Hiditch, who takes a paternal interest in the lass when it becomes clear that her young man has caddishly given her the slip.",2
"In the crypt are interred the remains of Voltaire and Rousseau, Hugo and Zola, assassinated Socialist leader Jean Jaurys, and Louis Braille, the inventor of the alphabet for the blind.",0
there's a uh a couple called um oh i'm going to forgot his name now uh Dirkson,0
"Poirot, I exclaimed, with relief, and seizing him by both hands, I dragged him into the room. ",2
"The word aswan actually means trade or market in ancient Egyptian, signifying its most pre-eminent activity.",2
well what the market can bear and,2
"And to show just how fast Japan's new rulers were catching on, two punitive expeditions were launched against Korea and China in the grand manner of 19th-century gunboat diplomacy.",0
"When the trust fund begins running cash deficits in 2016, the government as a whole must come up with the cash to finance Social Security's cash deficit by reducing any projected non-Social Security surpluses, borrowing from the public, raising other taxes, or reducing other government spending.",1
These organizations invest the time and effort to understand their processes and how those processes contribute to or hamper mission accomplishment.,0
and it is nice talking to you all righty,1
You have access to the facts. ,0
Build environment Engineering Manufacturing Production (all rate tooling) (1st set of production tooling),0
"As long you have your own household in order, fretting about your neighbor's spending habits is a lot like fretting about the color of his living-room rug.",2
yeah so um also of course they they can they join the they can always join the military service they are considered citizens i believe,2
She smiled back.,1
"According to the Office of the Actuary at the Health Care Financing Administration, the estimated net present value of future additional resources needed to fund HI benefits alone over the 75 years is $4.",0
